name,price
Levothyroxine,101.49
Vitamin D,23.49
Amoxicillin,51.49
Lisinopril,41.19
Amphetamine/dextroamphetamine,27.99
Amlodipine,31.49
Gabapentin,23.99
Atorvastatin,82.99
Prednisone,71.59
Albuterol HFA,20.78
Ibuprofen,14.99
Benzonatate,18.99
Sildenafil citrate,32.99
Losartan,49.49
Alprazolam,39.49
Tadalafil,101.49
Amoxicillin/clavulanate potassium,23.49
Metoprolol succinate ER,51.49
Cyclobenzaprine,41.19
Cetirizine,27.99
Metformin,31.49
Hydrochlorothiazide,23.99
Trazodone,82.99
Folic acid,71.59
Cephalexin,20.78
Escitalopram oxalate,14.99
Azithromycin,18.99
Fluoxetine,32.99
Omeprazole,49.49
Zolpidem tartrate,39.49
Bupropion ER,101.49
Estradiol,23.49
Methocarbamol,51.49
Clonazepam,41.19
Sertraline,27.99
Pantoprazole sodium,31.49
Rosuvastatin,23.99
Doxycycline hyclate,82.99
Methylprednisolone,71.59
FeroSul (ferrous sulfate),20.78
Furosemide,14.99
Phenobarbital,18.99
Spironolactone,32.99
Fluconazole,49.49
Famotidine,39.49
Meloxicam,101.49
Metronidazole,23.49
Lisinopril/hydrochlorothiazide,51.49
Metoprolol tartrate,41.19
Fluticasone,27.99
,
,
,
,
,
,
,
,
,
,
